CohortMonth,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12
2010-12,100.0,36.4367816091954,31.95402298850575,37.81609195402299,36.321839080459775,40.0,36.206896551724135,34.59770114942528,34.94252873563218,39.310344827586206,37.47126436781609,50.3448275862069,26.436781609195403
2011-01,100.0,22.115384615384613,27.163461538461537,22.596153846153847,31.971153846153843,28.846153846153843,25.0,24.519230769230766,30.048076923076923,32.69230769230769,36.29807692307692,12.01923076923077,
2011-02,100.0,18.666666666666668,18.666666666666668,27.73333333333333,26.93333333333333,24.53333333333333,24.8,27.200000000000003,24.8,30.933333333333334,6.666666666666667,,
2011-03,100.0,14.823008849557523,24.778761061946902,20.13274336283186,22.345132743362832,16.5929203539823,26.548672566371685,23.008849557522122,27.43362831858407,8.4070796460177,,,
2011-04,100.0,21.548821548821547,20.53872053872054,20.875420875420875,19.19191919191919,22.895622895622896,21.885521885521886,25.925925925925924,7.4074074074074066,,,,
2011-05,100.0,19.217081850533805,17.08185053380783,17.08185053380783,20.99644128113879,23.487544483985765,26.690391459074732,9.252669039145907,,,,,
2011-06,100.0,17.42738589211618,15.767634854771783,26.556016597510375,22.40663900414938,32.780082987551864,9.54356846473029,,,,,,
2011-07,100.0,18.421052631578945,22.105263157894736,23.157894736842106,27.368421052631582,11.578947368421053,,,,,,,
2011-08,100.0,20.118343195266274,24.85207100591716,24.2603550295858,13.017751479289942,,,,,,,,
2011-09,100.0,23.48993288590604,30.201342281879196,11.409395973154362,,,,,,,,,
2011-10,100.0,24.225352112676056,11.549295774647888,,,,,,,,,,
2011-11,100.0,10.9375,,,,,,,,,,,
2011-12,100.0,,,,,,,,,,,,
